CRN	Subj	Crse	Sect	Title	Prof	Day	Beg	End	Bldg	Room	(Type)	Campus	Max	Avail	WaitCount
21052	ACC	03301	 2	"ACCOUNTING ANALYTICSAccounting majors only. "	STAFF	R	1830	1945	BUSN	107	(Class)	Main	24	24	0
21054	ACC	03310	 1	INTERMEDIATE ACCTG I	"Omar, Ayishat"	MW	1230	1345	BUSN	131	(Class)	Main	32	32	0
21056	ACC	03310	 2	INTERMEDIATE ACCTG I	"Sacchetta, Robert J."	TR	1230	1345	BUSN	101	(Class)	Main	32	32	0
21061	ACC	03310	 3	INTERMEDIATE ACCTG I	"Sacchetta, Robert J."	TR	1400	1515	BUSN	101	(Class)	Main	32	32	0
21070	ACC	03311	 1	INTERMEDIATE ACCTG II	"Omar, Ayishat"	MW	930	1045	BUSN	103	(Class)	Main	32	32	0
21072	ACC	03311	 2	INTERMEDIATE ACCTG II	"Omar, Ayishat"	MW	1400	1515	BUSN	131	(Class)	Main	32	32	0
21073	ACC	03311	 3	INTERMEDIATE ACCTG II	"Sacchetta, Robert J."	TR	1700	1815	BUSN	101	(Class)	Main	32	32	0
21077	ACC	03320	 1	ACCTG INFO SYSTEMS	"Li, Pei"	MW	930	1045	BUSN	107	(Class)	Main	24	24	0
21078	ACC	03320	 2	ACCTG INFO SYSTEMS	"Li, Pei"	MW	1530	1645	BUSN	107	(Class)	Main	24	24	0
21079	ACC	03320	 3	ACCTG INFO SYSTEMS	STAFF	M	1830	1945	BUSN	107	(Class)	Main	0	0	0
21081	ACC	03326	 1	STRATEGIC COST ANALYSIS	"Papakroni, Erlina"	MW	1400	1515	BUSN	121	(Class)	Main	32	32	0
21083	ACC	03326	 2	STRATEGIC COST ANALYSIS	"Papakroni, Erlina"	MW	1530	1645	BUSN	121	(Class)	Main	32	32	0
21086	ACC	03405	 1	FOUNDATIONS OF ACCTG	"Papakroni, Erlina"	MW	930	1045	BUSN	101	(Class)	Main	32	32	0
21087	ACC	03410	 1	AUDITING	"Honer, Joseph S"	TR	800	915	BUSN	103	(Class)	Main	32	32	0
21088	ACC	03410	 2	AUDITING	"Honer, Joseph S"	TR	930	1045	BUSN	103	(Class)	Main	32	32	0
21090	ACC	03411	 1	ADV AUDITING AND ANALYTICS	"Lysak, Amy Kristin"	TR	930	1045	BUSN	107	(Class)	Main	32	32	0
21093	ACC	03416	 1	ADV ACCOUNTING	"Van Hook, Andrew P."	MW	1230	1345	JAMES	1115	(Class)	Main	35	35	0
21094	ACC	03416	 2	ADV ACCOUNTING	"Van Hook, Andrew P."	MW	1530	1645	BUSN	101	(Class)	Main	32	32	0
21096	ACC	03419	 1	FORENSIC ACCTG FRAUD INVESTIGA	"Honer, Joseph S"	F	930	1045	BUSN	101	(Class)	Main	32	32	0
21097	ACC	03425	 1	INTERNATIONAL ACCOUNTING	"Zhang, Mei"	TR	1100	1215	BUSN	121	(Class)	Main	32	32	0
21099	ACC	03428	 1	INTEGRATIVE ACCT SEMINAR	"Sagedy, Robert Andrew"	MW	1230	1345	BUSN	101	(Class)	Main	30	30	0
21100	ACC	03428	 2	INTEGRATIVE ACCT SEMINAR	"Sagedy, Robert Andrew"	MW	1400	1515	BUSN	101	(Class)	Main	30	30	0
21101	ACC	03431	 1	TAXATION OF BUS ENTITIES	"Marmon, Richard"	TR	1700	1815	BUSN	103	(Class)	Main	32	32	0
21102	ACC	03432	 1	FEDERAL TAXATION	"Van Hook, Andrew P."	MW	1700	1815	BUSN	101	(Class)	Main	32	32	0
21103	ACC	03432	 2	FEDERAL TAXATION	"Marmon, Richard"	TR	1230	1345	BUSN	103	(Class)	Main	32	32	0
21105	ACC	03432	 3	FEDERAL TAXATION	"Marmon, Richard"	TR	1530	1645	BUSN	103	(Class)	Main	32	32	0
21795	ACC	03500	 1C	FINANCIAL & MANAGERIAL ACCOUNT	"Sacchetta, Robert J."							Online	30	30	0
21796	ACC	03510	 1C	FINANCIAL STATEMENT ANALYS	"Weidman, Stephanie M."							Online	30	30	0
21797	ACC	03512	 1	ADV ACC INFO SYS/BUS PROC CTRL	"Lin, Tony"	T	1830	1945	BUSN	303	(Class)	Main	30	30	0
21106	ACC	98300	 1	LAW FOR ACCOUNTANTS	"Honer, Joseph S"							Online	32	32	0
23870	ADV	04232	 1	ADVERTISING MEDIA BUDGETING	"Vilceanu, Marilena Olguta"	TR	1100	1215	VCTRIA	200	(Class)	Main	25	25	0
23871	ADV	04330	 1	INTRO ADVERTISING	"Johnson, Kristine C"	MW	1400	1515	WHITNY	CL-201	(Class)	Main	0	0	0
23873	ADV	04330	 2	INTRO ADVERTISING	"O'Brien, Thomas Vincent"							Online	30	30	0
23872	ADV	04330	 3	INTRO ADVERTISING	"Buckley, Maria A."	TR	1530	1645	ENTPRZ	514	(Class)	Main	30	30	0
23874	ADV	04330	 1C	INTRO ADVERTISING	"Ziegler, Edward"							Online	30	30	0
23875	ADV	04352	 1	ADVERTISING STRATEGIES	"Johnson, Kristine C"	T	1100	1215	301HGH	216	(Class)	Main	24	24	0
23876	ADV	04360	 1	INTEGRATED MARKETING COMM	"Fagan, Lisa Michelle"	TR	1700	1815	301HGH	216	(Class)	Main	20	20	0
23877	ADV	04360	 2	INTEGRATED MARKETING COMM	"Nia-Schoenstein, Asadeh"	MW	1400	1515	301HGH	305	(Class)	Main	24	24	0
23878	ADV	04360	 3	"INTEGRATED MARKETING COMMRCBC and RCSJ students only. "	"Holtzman, Diane M"							Online	24	24	0
23879	ADV	04360	 1C	"INTEGRATED MARKETING COMMGlobal students only. "	"Valore, Vanessa Lynn"							Online	24	24	0
23880	ADV	04370	 1	ESSENTIALS OF DESIGN	"Bowman, Susan"	TR	800	915	WESTBY	109	(Class)	Main	15	15	0
23881	ADV	04370	 2	ESSENTIALS OF DESIGN	"Bowman, Susan"	MW	1830	1945	WESTBY	219	(Class)	Main	0	0	0
23882	ADV	04375	 1	ADVERTISING COPYWRITING	"Fagan, Lisa Michelle"	TR	1400	1515	301HGH	305	(Class)	Main	24	24	0
23883	ADV	04375	 2	ADVERTISING COPYWRITING	"Rodolico, Louis Francis"	TR	930	1045	301HGH	305	(Class)	Main	24	24	0
23884	ADV	04375	 3	ADVERTISING COPYWRITING	"Rodolico, Louis Francis"	MW	1230	1345	ENTPRZ	514	(Class)	Main	24	24	0
23886	ADV	04420	 1	PORTFOLIO PREPARATION	"Rodolico, Louis Francis"	TR	1100	1215	ENTPRZ	514	(Class)	Main	24	24	0
23887	ADV	04421	 1	ACCOUNT PLANNING	"Rodolico, Louis Francis"	MW	800	915	301HGH	305	(Class)	Main	24	24	0
23888	ADV	04421	 2	ACCOUNT PLANNING	"Audio, Regina M"	TR	1230	1345	ENTPRZ	514	(Class)	Main	24	24	0
23890	ADV	04432	 1	MEDIA PLANNING	"O'Brien, Thomas Vincent"	MW	1400	1515	BOZ	107	(Class)	Main	0	0	0
23891	ADV	04432	 2	MEDIA PLANNING	"Audio, Regina M"	TR	1100	1215	DISCOV	312	(Class)	Main	0	0	0
23893	ADV	04434	 1	ADVERTISING CAMPAIGNS-WI	"Rodolico, Louis Francis Audio, Regina M Fagan, Lisa Michelle "	M	1700	1815	WESTBY	111	(Class)	Main	25	25	0
23894	ADV	04434	 2	ADVERTISING CAMPAIGNS-WI	"Fagan, Lisa Michelle Audio, Regina M Rodolico, Louis Francis "	M	1700	1815	WESTBY	111	(Class)	Main	25	25	0
23895	ADV	04434	 3	ADVERTISING CAMPAIGNS-WI	"Audio, Regina M Rodolico, Louis Francis Fagan, Lisa Michelle "	M	1700	1815	WESTBY	111	(Class)	Main	25	25	0
21949	AFST	11104	 1	INTRO TO AFRICANA STUDIES	STAFF	M	1400	1515	HAWTHN	204	(Class)	Main	30	30	0
21950	AFST	11104	 2	INTRO TO AFRICANA STUDIES	STAFF	TR	1100	1215	HAWTHN	204	(Class)	Main	30	30	0
21955	AFST	11304	 1	AFRICANA SOCIAL THOUGHT	STAFF	W	1830	1945	HAWTHN	204	(Class)	Main	23	23	0
21952	AFST	11350	 1	"TPCS AFRICANA STUDIES:MODEL AUThis course meets in-person on 1/18, 2/08, 2/15, and 3/07 "	"Nyahuma, Mujahid B"	R	1100	1215	JAMES	2094	(Class)	Main	0	0	0
24402	AFST	11350	 2	AS TOPICS: RECLAMING OUR TIME	"Harrell, Cherita N."	TR	1530	1645	ENTPRZ	414	(Class)	Main	5	5	0
21956	AMST	13101	 1	INTRO TO AMERICAN STUDIES	"Gennari, Elizabeth V"							Online	35	35	0
21957	AMST	13101	 2	INTRO TO AMERICAN STUDIES	"Dashefsky, Brian F"							Online	35	35	0
21958	AMST	13101	 3	INTRO TO AMERICAN STUDIES	"Dashefsky, Brian F"							Online	35	35	0
21959	AMST	13402	 1	SENIOR SEM AMER ST-WI	"Leonard, Katherine Sparks"							Online	15	15	0
23129	ANS	00505	 1	"HUMAN DEVELOPMENTAL ANATOMYANS Program students only. "	"Carsia, Rocco V"							Stratford	2	2	0
23130	ANS	00507	 1	"TCH PRAC IN HUM ANAT DISSE IIIANS Program students only. "	"Carsia, Rocco V"							Stratford	2	2	0
22149	ANTH	02200	 1	INTRO BIOARCHAEOLOGY	"Getler, Anna Elizabeth"	MW	1100	1215	ROBSON	205	(Class)	Main	29	29	0
22150	ANTH	02202	 1	CULTURAL ANTHROPOLOGY	"Kalasapudi, Lakshman"	M	1830	1945	JAMES	2101	(Class)	Main	35	35	0
22152	ANTH	02202	 2	CULTURAL ANTHROPOLOGY	"Chao, Kate"							Online	35	35	0
22154	ANTH	02202	 3	CULTURAL ANTHROPOLOGY	"Chao, Kate"							Online	35	35	0
22156	ANTH	02202	 4	CULTURAL ANTHROPOLOGY	"Kyle, Jacquelyn M. R."							Online	35	35	0
22157	ANTH	02202	 5	CULTURAL ANTHROPOLOGY	"Kyle, Jacquelyn M. R."							Online	35	35	0
22158	ANTH	02202	 6	CULTURAL ANTHROPOLOGY	"Castro, Arlene D"							Online	35	35	0
22160	ANTH	02202	 1C	CULTURAL ANTHROPOLOGY	"Castro, Arlene D"							Online	35	35	0
22161	ANTH	02203	 1	INTRO ARCHEOLOGY	"Hill, Jane A"	T	1830	1945	ROBSON	205	(Class)	Main	29	29	0
22162	ANTH	02203	 2	INTRO ARCHEOLOGY	"Hill, Jane A"	TR	1700	1815	ROBSON	205	(Class)	Main	29	29	0
22165	ANTH	02215	 1	MEDICAL ANTHROPOLOGY	"Schug, Seran E"	TR	1100	1215	JAMES	2101	(Class)	Main	35	35	0
22166	ANTH	02221	 1	HUMAN VARIATION	"Rosado, Maria"	TR	930	1045	ROBSON	205	(Class)	Main	29	29	0
22167	ANTH	02221	 2	HUMAN VARIATION	"Mitchell, Tovah Jennifer Ross"							Online	35	35	0
22168	ANTH	02221	 3	HUMAN VARIATION	"Mitchell, Tovah Jennifer Ross"							Online	35	35	0
22169	ANTH	02221	 4	HUMAN VARIATION	"McCaffrey, Amanda K"							Online	35	35	0
22172	ANTH	02221	 5	HUMAN VARIATION	"McCaffrey, Amanda K"							Online	35	35	0
22174	ANTH	02221	 6	HUMAN VARIATION	"Verostick, Kirsten"							Online	35	35	0
22176	ANTH	02221	 7	HUMAN VARIATION	"Verostick, Kirsten"							Online	35	35	0
22178	ANTH	02221	 8	HUMAN VARIATION	"Cordle, Chelsea Marie"							Online	35	35	0
22180	ANTH	02221	 9	HUMAN VARIATION	"Cordle, Chelsea Marie"							Online	35	35	0
22182	ANTH	02225	 1	ARTS AND MEDICINE	"Schug, Seran E"	TR	1400	1515	ROBSON	205	(Class)	Main	29	29	0
22186	ANTH	02240	 1	FOOD AND CULTURE	"Cushman, Robert Dustin"	MW	1100	1215	JAMES	2101	(Class)	Main	26	26	0
22189	ANTH	02250	 1	INTRO ANTHRO LINGUISTICS	"Hundley, James M"	TR	1100	1215	ROBSON	205	(Class)	Main	29	29	0
22198	ANTH	02315	 1	FORENSIC ANTHROPOLOGY	"Rosado, Maria Getler, Anna Elizabeth "	MW	1400	1515	ROBSON	205	(Class)	Main	25	25	0
22203	ANTH	02321	 1	CULTURAL ECOLOGY	"Hill, Jane A"	MW	1530	1645	ROBSON	205	(Class)	Main	26	26	0
22206	ANTH	02323	 1	ANTH OF MAGIC & RELIGION	"Cushman, Robert Dustin"	MW	930	1045	ROBSON	205	(Class)	Main	26	26	0
22208	ANTH	02355	 1	GLOBAL HLTH ANTHRO PERSPECTIVE	"Schug, Seran E"							Online	26	26	0
22209	ANTH	02395	 1	ANTHROPOLOGICAL THEORY	"Hundley, James M"	TR	1230	1345	ROBSON	205	(Class)	Main	26	26	0
22210	ANTH	02450	 1	ANTHROPOLOGY SR SEMINAR - WI	"Hill, Jane A"	MW	1230	1345	ROBSON	205	(Class)	Main	20	20	0
21960	ANTH	02510	 1	QUALITATIVE RESEARCH	"Schug, Seran E"	W	1700	1815	ROBSON	205	(Class)	Main	15	15	0
22138	ARAB	12101	 1	ELEMENTARY ARABIC I	"Mousa, Tarek Awadalla"	MW	930	1045	JAMES	2103	(Class)	Main	24	24	0
24426	ARAB	12101	 2	"ELEMENTARY ARABIC I For STARTTALK Students. This course runs remotely from 3/26-7/2, TR 6:30pm-8:00pm. "	"Mousa, Tarek Awadalla"	TR	1830	2000	(Class)			Off-campus	0	0	0
22143	ARAB	12102	 1	"ELEMENTARY ARABIC II Prerequisite waiver available through placement interview. Contact mousa@rowan.edu. "	"Mousa, Tarek Awadalla"	MW	1100	1215	LBRARY	401	(Class)	Main	22	22	0
22144	ARAB	12211	 1	"INTERMEDIATE ARABIC II Prerequisite waiver available through placement interview. Contact mousa@rowan.edu. "	"Mousa, Tarek Awadalla"	TR	930	1045	JAMES	2095	(Class)	Main	16	16	0
22141	ARAB	12320	 1	ARABIC CIVILIZATION/CULTURE	"Mousa, Tarek Awadalla"	TR	1100	1215	JAMES	2095	(Class)	Main	16	16	0
23612	ARHS	03103	 1	"ART HIS SRVY I:PRE TO MEDIEVALOff-campus trip. "	STAFF	F	930	1045	WESTBY	111	(Class)	Main	25	25	0
23624	ARHS	03104	 1	"ART HIS SRVY II:RENS TO MODERNOff-campus trip. "	STAFF	MW	930	1045	WESTBY	111	(Class)	Main	25	25	0
23625	ARHS	03104	 2	"ART HIS SRVY II:RENS TO MODERNOff-campus trip. "	STAFF	MW	1100	1215	WESTBY	111	(Class)	Main	25	25	0
23626	ARHS	03130	 1	"ART APPRECIATIONOff-campus trip.ONLINE. AFTER REGISTRATION, VISIT ROWANONLINE.COM/PORTAL. "	STAFF							Online	25	25	0
23627	ARHS	03130	 2	"ART APPRECIATIONOff-campus trip "	STAFF	TR	1230	1345	WESTBY	111	(Class)	Main	25	25	0
23628	ARHS	03130	 3	"ART APPRECIATIONOff-campus trip "	STAFF	TR	1530	1645	WESTBY	111	(Class)	Main	25	25	0
23629	ARHS	03130	 4	"ART APPRECIATIONOff-campus trip.ONLINE. AFTER REGISTRATION, VISIT ROWANONLINE.COM/PORTAL. "	STAFF							Online	25	25	0
23630	ARHS	03130	 5	"ART APPRECIATIONOff-campus trip.ONLINE. AFTER REGISTRATION, VISIT ROWANONLINE.COM/PORTAL. "	STAFF							Online	25	25	0
23631	ARHS	03130	 6	"ART APPRECIATIONOff-campus trip.ONLINE. AFTER REGISTRATION, VISIT ROWANONLINE.COM/PORTAL. "	STAFF							Online	25	25	0
23632	ARHS	03130	 7	ART APPRECIATION	STAFF							Online	25	25	0
23633	ARHS	03130	 8	ART APPRECIATION	STAFF							Online	25	25	0
23635	ARHS	03220	 1	"MODERN ARTOff-campus trip. "	STAFF	TR	1100	1215	WESTBY	111	(Class)	Main	25	25	0
23636	ARHS	03241	 1	HIST OF PHOTOGRAPHY	STAFF	TR	1400	1515	WESTBY	111	(Class)	Main	25	25	0
23637	ARHS	03310	 1	"HISTORY OF AMERICAN ARTOff-campus trip. "	STAFF	MW	1230	1345	WESTBY	111	(Class)	Main	25	25	0
23638	ARHS	03310	 2	"HISTORY OF AMERICAN ARTOff-campus trip. "	STAFF	MW	1400	1515	WESTBY	111	(Class)	Main	25	25	0
23639	ART	02100	 1	"DRAWING IArt majors and minors only. "	STAFF	TR	1400	1515	WESTBY	213	(Class)	Main	12	12	0
23640	ART	02100	 2	DRAWING I	STAFF	TR	1700	1815	WESTBY	213	(Class)	Main	15	15	0
23641	ART	02100	 3	DRAWING I	STAFF	F	930	1045	WESTBY	213	(Class)	Main	15	15	0
23642	ART	02100	 4	DRAWING I	STAFF	MW	800	915	WESTBY	213	(Class)	Main	15	15	0
23643	ART	02105	 1	"COLOR & DESIGN IArt majors and minors only. Additional Materials Required. "	STAFF	MW	1100	1215	WESTBY	205	(Class)	Main	15	15	0
23644	ART	02105	 2	"COLOR & DESIGN IALL majors Additional Materials Required. "	STAFF	MW	1700	1815	WESTBY	206	(Class)	Main	15	15	0
23645	ART	02105	 3	"COLOR & DESIGN IALL majors Additional Materials Required "	STAFF	TR	800	915	WESTBY	206	(Class)	Main	15	15	0
23646	ART	02110	 1	FIGURE DRAWING	"Ohanian, Nancy L."	TR	800	915	WESTBY	104	(Class)	Main	15	15	0
23647	ART	02110	 2	FIGURE DRAWING	"Ohanian, Nancy L."	TR	1100	1215	WESTBY	104	(Class)	Main	15	15	0
23648	ART	02200	 1	EXPRESSIVE DRAWING	"Appelson, Herbert"	TR	800	915	WESTBY	213	(Class)	Main	15	15	0
23649	ART	02200	 2	EXPRESSIVE DRAWING	"Appelson, Herbert"	MW	1100	1215	WESTBY	213	(Class)	Main	15	15	0
23650	ART	02200	 3	EXPRESSIVE DRAWING	"Appelson, Herbert"	TR	1100	1215	WESTBY	213	(Class)	Main	15	15	0
23651	ART	02220	 1	"INTRODUCTION TO PAINTINGArt majors and minors only.Additional materials required. "	"Sophy, Nancy M"	TR	1400	1515	WESTBY	104	(Class)	Main	15	15	0
23653	ART	02220	 2	"INTRODUCTION TO PAINTINGAdditional materials required. "	STAFF	MW	1700	1815	WESTBY	104	(Class)	Main	15	15	0
23654	ART	02220	 3	"INTRODUCTION TO PAINTINGAdditional materials required. "	STAFF	MW	1400	1515	WESTBY	104	(Class)	Main	15	15	0
23652	ART	02220	 4	"INTRODUCTION TO PAINTINGArt majors and minors only.Additional materials required. "	"Sophy, Nancy M"	MW	1100	1215	WESTBY	104	(Class)	Main	15	15	0
23655	ART	02222	 1	CORE PORTFOLIO REVIEW	"Ohanian, Nancy L."							Main	60	60	0
23656	ART	02240	 1	"INTRODUCTION TO SCULPTURE/3-DArt majors and minors only.Additional materials required. "	STAFF	TR	1400	1515	WESTBY	103	(Class)	Main	12	12	0
23657	ART	02240	 2	"INTRODUCTION TO SCULPTURE/3-DAdditional materials required. "	STAFF	TR	800	915	WESTBY	103	(Class)	Main	12	12	0
23658	ART	02240	 3	"INTRODUCTION TO SCULPTURE/3-DAdditional materials required. "	STAFF	MW	800	915	WESTBY	103	(Class)	Main	12	12	0
23659	ART	02240	 4	"INTRODUCTION TO SCULPTURE/3-DAdditional materials required. "	STAFF	TR	1700	1815	WESTBY	103	(Class)	Main	12	12	0
23660	ART	02260	 1	"INTRODUCTION TO PRINTMAKINGAdditional materials required. "	STAFF	TR	1700	1815	WESTBY	205	(Class)	Main	15	15	0
23661	ART	02260	 2	"INTRODUCTION TO PRINTMAKINGAdditional materials required. "	"Lemonias, Krystle"	TR	1100	1215	WESTBY	205	(Class)	Main	15	15	0
23662	ART	02300	 1	"WKSP IN ART:PUPPETRYAdditional materials required. "	"Ahearn, Patrick W"	T	1230	1345	WESTBY	104C	(Class)	Main	15	15	0
23663	ART	02300	 2	"WKSP IN ART:PUPPETRYAdditional materials required. "	"Ahearn, Patrick W"	T	1400	1515	WESTBY	104C	(Class)	Main	15	15	0
23664	ART	02301	 1	"INTERMEDIATE SCULPTUREAdditional materials required. "	STAFF	MW	1100	1215	WESTBY	103	(Class)	Main	12	12	0
23665	ART	02315	 1	"INTERMEDIATE PAINTINGAdditional materials required. "	"Sophy, Nancy M"	MW	800	915	WESTBY	104	(Class)	Main	15	15	0
23666	ART	02317	 1	"INTERMEDIATE PRINTMAKINGAdditional materials required. "	STAFF	TR	1400	1515	WESTBY	205	(Class)	Main	14	14	0
23667	ART	02401	 1	"ADVANCED SCULPTUREAdditional Materials Required. "	STAFF	MW	1100	1215	WESTBY	103	(Class)	Main	4	4	0
23679	ART	02414	 1	"ADVANCED PAINTINGAdditional Materials Required. "	"Sophy, Nancy M"	MW	800	915	WESTBY	104	(Class)	Main	0	0	0
23683	ART	02430	 1	"ADVANCED PRINTMAKINGAdditional Materials Required. "	STAFF	TR	1400	1515	WESTBY	205	(Class)	Main	1	1	0
23691	ART	09200	 1	THEORY/ANALYSIS IN ART EDU	"Neglia, Eugene W"	F	1100	1215	WESTBY	206	(Class)	Main	18	18	0
23708	ART	09202	 1	COMM ART ED FOR SECONDARY GRDS	"Graziano, Jane E."	W	1400	1515	WESTBY	206	(Class)	Main	15	15	0
23709	ART	09210	 1	"INTRODUCTION TO METALS/JEWELRYAll majors, Additional Materials Required "	STAFF	TR	1400	1515	WESTBY	102	(Class)	Main	15	15	0
23710	ART	09210	 2	"INTRODUCTION TO METALS/JEWELRYAll majors, Additional Materials Required "	STAFF	MW	1100	1215	WESTBY	102	(Class)	Main	15	15	0
23711	ART	09210	 3	"INTRODUCTION TO METALS/JEWELRYAll majors, Additional Materials Required "	STAFF	TR	1700	1815	WESTBY	102	(Class)	Main	15	15	0
23712	ART	09210	 4	"INTRODUCTION TO METALS/JEWELRYAll majors, Additional Materials Required "	STAFF	MW	1400	1515	WESTBY	102	(Class)	Main	15	15	0
23713	ART	09228	 1	INTRODUCTION TO ILLUSTRATION	STAFF	MW	1400	1515	WESTBY	218	(Class)	Main	15	15	0
23714	ART	09240	 1	INTRODUCTION TO CERAMICS	STAFF	MW	1100	1215	WESTBY	100	(Class)	Main	15	15	0
23715	ART	09240	 2	INTRODUCTION TO CERAMICS	"Thomas, Skeffington N."	TR	1100	1215	WESTBY	100	(Class)	Main	13	13	0
23716	ART	09240	 3	INTRODUCTION TO CERAMICS	STAFF	MW	1700	1815	WESTBY	100	(Class)	Main	15	15	0
23994	ART	09251	 1	"INTRO FIGURE ANATOMY ARTISTAdditional Material Required "	"Geehr, Ethan Frederic"	F	930	1045	WESTBY	104	(Class)	Main	2	2	0
23998	ART	09251	 2	"HONORS INTR FIGURE ANAT ARTISTAdditional Material Required "	"Geehr, Ethan Frederic"	F	930	1045	WESTBY	104	(Class)	Main	4	4	0
24025	ART	09253	 1	INTRO DIGITAL 3D MODELING	"Almon, Amanda S"	TR	800	915	WESTBY	216	(Class)	Main	5	5	0
23718	ART	09301	 1	"DIGITAL MEDIA AND TECHNIQUESArt majors and minors only. "	STAFF	MW	1400	1515	WESTBY	105	(Class)	Main	15	15	0
23719	ART	09301	 2	"DIGITAL MEDIA AND TECHNIQUESAll majors. "	STAFF	TR	1400	1515	WESTBY	218	(Class)	Main	15	15	0
23720	ART	09301	 3	"DIGITAL MEDIA AND TECHNIQUESAll majors. "	STAFF	MW	1700	1815	WESTBY	105	(Class)	Main	15	15	0
23721	ART	09301	 4	"DIGITAL MEDIA AND TECHNIQUESAll majors. "	STAFF	TR	1700	1815	WESTBY	218	(Class)	Main	15	15	0
23722	ART	09303	 1	PROFESSIONA PRACTICES IN ART 1	STAFF	TR	800	915	WESTBY	218	(Class)	Main	15	15	0
23723	ART	09307	 1	SP TP ART STUDIO:SMELL ART	"Kitson, Jennifer L"	F	930	1045	WESTBY	105	(Class)	Main	8	8	0
23724	ART	09307	 2	"ST ART STUDIO:MURAL PAINTINGART MAJORS ONLYOff Campus Trip "	"Sophy, Nancy M"	F	930	1045	WESTBY	205	(Class)	Main	15	15	0
23725	ART	09308	 1	"COLOR THEORYAdditional Materials Required. "	STAFF	TR	1400	1515	WESTBY	206	(Class)	Main	15	15	0
23726	ART	09311	 1	"INTERMEDIATE METALS/JEWELRYAdditional Materials Required. "	STAFF	TR	1100	1215	WESTBY	102	(Class)	Main	14	14	0
23728	ART	09336	 1	INTERMEDIATE ILLUSTRATION	STAFF	F	800	915	WESTBY	218	(Class)	Main	14	14	0
23729	ART	09343	 1	INTRO TO GRAPHIC DESIGN I	STAFF	TR	800	915	WESTBY	219	(Class)	Main	15	15	0
23730	ART	09344	 1	INTERMED GRAPHIC DES II:TYP	STAFF	TR	1100	1215	WESTBY	218	(Class)	Main	15	15	0
23732	ART	09346	 1	"CAD:3D MODEL FOR ARTIST/DESGNRAll majors, Additional Materials Required "	STAFF	MW	800	915	WESTBY	(Class)		Main	0	0	0
23733	ART	09349	 1	INTERMED GRAPHIC DES III:VIS	STAFF	TR	1830	1945	WESTBY	219	(Class)	Main	10	10	0
23734	ART	09350	 1	INTERMED GRAPHIC DESIGN IV	STAFF	F	800	915	WESTBY	219	(Class)	Main	15	15	0
